"Cash on delivery prices","Kapıda Ödeme Ücretleri"
"Local destinations","Yurtiçi Ücretlendirme"
"Foreign destinations","Yurtdışı Ücretlendirme"
"Cash on delivery","Kapıda Ödeme"
"Enable Cash on delivery","Kapıda Ödeme Açık"
"MSP Cash on delivery prices - Local fee","Kapıda Ödeme Ücreti - Yurtiçi"
"Add New Price Rule","Yeni Fiyat Kuralı Ekle"
"MSP Cash on delivery prices - Foreign fee","Kapıda Ödeme Ücreti - Yurtdışı"
"From amount","Başlangıç Ücreti"
"Apply fee","Fiyatı Uygula"
"Apply from amount","Sipariş toplamından al"
"Cash on delivery fee","Kapıda ödeme ücreti"
"You will be charged an extra fee of %s","Kapıda Ödeme Ücreti olarak %s tahsil edilecektir"
"You will be charged an extra fee of %s (Incl. Taxes %s)","Kapıda Ödeme Ücreti olarak %s ( KDV Dahil %s ) tahsil edilecektir"
"You will be charged an extra fee of %s Incl. Taxes","Kapıda Ödeme Ücreti olarak KDV dahil %s tahsil edilecektir"
"Fee Amount","Ücret Toplamı"
"Apply","Uygula"
"Cash On Delivery", "Kapıda Ödeme"
"Cash on Delivery - %s (%d%%)","Kapıda Ödeme - %s (%d%%)"
"Cash on Delivery Tax (%d%%)","Kapıda Ödeme Ücreti Vergisi (%d%%)"
"Cash on Delivery Taxes","Kapıda Ödeme Ücreti Vergisi"
"Cash On Delivery Taxes","Kapıda Ödeme Ücreti Vergisi"
"Tax Class for Cash On Delivery","Kapıda Ödeme Ücreti için vergi sınıfı"
"Display Cash On Delivery Amount","Kapıda Ödeme Ücret tutarını göster"
"This rule already exists, please select another amount","Bu kural zaten var. Lütfen başka bir tutar belirleyiniz."
"Fixed Fee","Sabit Ücret"
"Percentual Fee","Yüzdelik Fiyat"
"Rule was successfully saved","Kural kaydedildi"
"Add Rule","Kural Ekle"
"Edit Rule","Kuralı Düzenle"
"Standard local fixed fee", "Standart yurtiçi sabit fiyat "
"Standard foreign fixed fee", "Standart yurtdışı sabit fiyat"
"Calculate subtotal including shipping","Ara toplamı kargo dahil hesapla"
"Calculate subtotal including taxes","Ara toplamı vergi dahil hesapla"
"Additional text displayed on the payment method selection","Ödeme yöntemi seçimi esnasında gösterilecek yazı"
"Cash on delivery price including taxes","Kapıda Ödeme Ücretine vergiler dahildir"
